duanmian
279 (2012nian xunqian)
1	51	白鹤镇	123	123
15	323.06 	113.20 	1
16	384.77 	113.40 	1
17	440.28 	113.60 	1
18	497.41 	113.80 	1
19	509.50 	114.00 	1
20	513.80 	114.20 	1
21	518.10 	114.40 	1
22	522.39 	114.60 	1
23	526.68 	114.80 	1
24	529.35 	115.00 	1
25	531.34 	115.20 	1
26	533.34 	115.40 	1
27	535.34 	115.60 	1
28	537.34 	115.80 	1
29	540.32 	116.00 	1
30	546.23 	116.20 	1
31	551.59 	116.40 	1
32	579.44 	116.60 	1
33	674.62 	116.80 	1
34	694.79 	117.00 	1
35	716.47 	117.20 	1
36	738.60 	117.40 	1
37	743.19 	117.60 	1
38	744.43 	117.80 	1
39	745.08 	118.00 	1
40	745.73 	118.20 	1
41	746.37 	118.40 	1
42	747.02 	118.60 	1
43	747.67 	118.80 	1	
44	748.32 	119.00 	1	
45	765.69 	119.20 	1	
46	830.51 	119.40 	1	
47	856.51 	119.60 	1	
48	864.17 	119.80 	1	
49	864.17 	119.83	2	
50	1385.7	119.83	2	
51	1385.7	120.34	2	
52	2376.7	120.34	2	
53	2376.7	121	3	
54	2979.7	121	3	
55	2979.7	122	3	
56	4556.7	122	3	
6	37	西庄	117	117
1	0	110.13	1	
2	28.00 	110.25 	1
3	59.29 	110.50 	1
4	86.88 	110.75 	1
5	108.38 	111.00 	1
6	126.89 	111.25 	1
7	161.74 	111.50 	1
8	231.04 	111.75 	1
9	289.17 	112.00 	1
10	334.52 	112.25 	1
11	411.17 	112.50 	1
12	646.40 	112.75 	1
13	686.44 	113.00 	1
14	730.14 	113.25 	1
15	789.08 	113.50 	1
16	905.49 	113.75 	1
17	906.50 	114.00 	1
18	907.51 	114.25 	1
19	908.52 	114.50 	1
20	954.63 	114.75 	1
21	966.24 	115.00 	1
22	968.61 	115.25 	1
23	1005.30 	115.50 	1
24	1029.87 	115.75 	1
25	1058.48 	116.00 	1
26	1070.48 	116.25 	1
27	1071.40 	116.50 	1
28	1074.15 	116.75 	1
29	1088.14 	117.00 	1
30	1088.14 	117	2
31	1779.67	117	2
32	1779.67	118.96	2
33	2006.67	118.96	2
34	2006.67	120.16	3	
35	2807.67	120.16	3	
36	2807.67	121.42	3	
37	7287.67	121.42	3	
7	55	下古街	116.26	116.26
1	0	105.43	1	
2	12.32 	105.50 	1	
3	32.86 	105.75 	1	
4	45.36 	106.00 	1	
5	57.86 	106.25 	1	
6	70.86 	106.50 	1	
7	85.85 	106.75 	1	
8	129.13 	107.00 	1	
9	159.70 	107.25 	1	
10	187.09 	107.50 	1	
11	213.43 	107.75 	1	
12	241.00 	108.00 	1
13	282.12 	108.25 	1
14	330.58 	108.50 	1
15	369.39 	108.75 	1
16	399.77 	109.00 	1
17	426.69 	109.25 	1
18	456.73 	109.50 	1
19	489.47 	109.75 	1
20	504.21 	110.00 	1
21	514.91 	110.25 	1
22	525.62 	110.50 	1
23	536.33 	110.75 	1
24	547.03 	111.00 	1
25	557.99 	111.25 	1
26	571.57 	111.50 	1
27	585.13 	111.75 	1
28	617.95 	112.00 	1
29	620.03 	112.25 	1
30	622.12 	112.50 	1
31	636.00 	112.75 	1
32	690.36 	113.00 	1
33	719.67 	113.25 	1
34	745.48 	113.50 	1
35	780.08 	113.75 	1
36	784.89 	114.00 	1
37	785.78 	114.25 	1
38	786.67 	114.50 	1
39	787.56 	114.75 	1
40	788.45 	115.00 	1
41	810.14 	115.25 	1
42	873.48 	115.50 	1
43	876.87 	115.75 	1
44	892.45 	116.00 	1	
45	903.40 	116.25 	1	
46	903.40 	116.26	2	
47	1638.2	116.26	2	
48	1638.2	117.19	2	
49	2355.2	117.19	2	
50	2355.2	118.56	3	
51	4171.2	118.56	3	
52	4171.2	120.43	3	
53	5713.2	120.43	3	
54	5713.2	122	3	
55	8234.2	122	3	
8	55	双槐树	115.85	115.85
1	0	105.55	1	
2	7.33 	105.60 	1	
3	23.75 	105.85 	1	
4	39.37 	106.10 	1
5	80.33 	106.35 	1
6	100.07 	106.60 	1
7	117.12 	106.85 	1
8	138.58 	107.10 	1
9	212.27 	107.35 	1
10	253.42 	107.60 	1
11	309.04 	107.85 	1
12	340.91 	108.10 	1
13	373.50 	108.35 	1
14	461.06 	108.60 	1
15	466.17 	108.85 	1
16	471.27 	109.10 	1
17	475.86 	109.35 	1
18	478.86 	109.60 	1
19	481.85 	109.85 	1
20	484.03 	110.10 	1
21	486.04 	110.35 	1
22	488.05 	110.60 	1
23	490.07 	110.85 	1
24	492.38 	111.10 	1
25	501.77 	111.35 	1
26	503.86 	111.60 	1
27	504.94 	111.85 	1
28	506.02 	112.10 	1
29	507.11 	112.35 	1
30	508.19 	112.60 	1
31	509.28 	112.85 	1
32	510.36 	113.10 	1
33	511.47 	113.35 	1
34	513.17 	113.60 	1
35	514.86 	113.85 	1
36	516.42 	114.10 	1
37	517.29 	114.35 	1
38	518.16 	114.60 	1
39	519.02 	114.85 	1
40	519.89 	115.10 	1
41	520.75 	115.35 	1
42	546.28 	115.60 	1
43	592.86 	115.85 	1
44	592.86 	115.85 	2
45	838.23	115.85 	2
46	838.23	116.47	3
47	1099.23	116.47	3
48	1099.23	117	3
49	1992.23	117	3
50	1992.23	118.04	3
51	2802.23	118.04	3
52	2802.23	119	3	
53	2909.23	119	3	
54	2909.23	119.81	3	
55	7592.23	119.81	3	
9	54	铁炉	116.25	116.25
1	0	104.95	1	
2	8.50 	105.00 	1	
3	34.46 	105.25 	1	
4	100.77 	105.50 	1	
5	109.01 	105.75 	1	
6	117.26 	106.00 	1	
7	129.73 	106.25 	1	
8	157.50 	106.50 	1	
9	165.07 	106.75 	1	
10	172.64 	107.00 	1	
11	187.04 	107.25 	1	
12	206.00 	107.50 	1
13	226.02 	107.75 	1
14	239.00 	108.00 	1
15	250.21 	108.25 	1
16	261.42 	108.50 	1
17	272.99 	108.75 	1
18	289.74 	109.00 	1
